City_ID,City,Lat,Lng,Max_temp,Humidity,Clouds,Wind,Country,Date
254,bengkulu,-3.8,102.27,78.03,87,40,6.06,ID,1593359211
255,huicungo,-7.28,-76.8,84.78,54,28,1.97,PE,1593359485
256,sola,-13.88,167.55,77.0,100,90,15.59,VU,1593359485
257,los llanos de aridane,28.66,-17.92,75.2,73,75,17.22,ES,1593359485
258,kaspiysk,42.88,47.64,71.6,53,23,13.42,RU,1593359326
259,san andres,12.58,-81.7,86.0,79,75,12.75,CO,1593359485
260,palmer,42.16,-72.33,82.0,65,75,6.91,US,1593359485
261,hofn,64.25,-15.21,62.6,67,75,21.92,IS,1593359486
262,plettenberg bay,-34.05,23.37,58.26,65,22,14.45,ZA,1593359316
263,uyuni,-20.46,-66.83,47.82,35,0,15.9,BO,1593359486
264,ancud,-41.87,-73.82,46.0,100,90,5.82,CL,1593359486
265,anadyr,64.75,177.48,33.8,80,20,4.47,RU,1593359486
266,tanout,14.97,8.89,102.88,8,0,7.58,NE,1593359486
267,yuancheng,36.65,107.79,69.35,77,7,7.78,CN,1593359486
268,pag,44.45,15.06,86.0,42,20,12.75,HR,1593359486
269,pangai,-19.8,-174.35,77.95,83,100,13.89,TO,1593359486
270,san cristobal,7.77,-72.22,87.8,45,40,20.8,VE,1593359486
271,mopipi,-21.18,24.88,65.14,23,0,6.82,BW,1593359487
272,rocha,-34.48,-54.33,53.78,69,37,5.97,UY,1593359487
273,mayo,38.89,-76.51,84.0,65,1,4.7,US,1593359279
274,saint-joseph,-21.37,55.62,70.0,83,36,3.36,RE,1593359487
275,robertsport,6.75,-11.37,78.62,85,66,14.45,LR,1593359487
276,brunswick,41.24,-81.84,78.01,60,40,6.11,US,1593359329
277,rio gallegos,-51.62,-69.22,23.0,85,20,9.17,AR,1593359487
278,sinazongwe,-17.26,27.46,72.57,45,0,0.43,ZM,1593359487
279,bilma,18.69,12.92,104.31,7,0,7.31,NE,1593359488
280,ayr,55.46,-4.63,55.4,87,75,23.04,GB,1593359488
